player_id,player_name,team
487,Patrick Cutrone,Wolves
488,Nicolas P?p?,Arsenal
489,Reiss Nelson,Arsenal
490,Joseph Willock,Arsenal
491,Marvelous Nakamba,Aston Villa
492,Arnaut Danjuma Groeneveld,Bournemouth
493,Adam Webster,Brighton
494,Aaron Ramsdale,Bournemouth
495,Bailey Peacock-Farrell,Burnley
496,Moise Kean,Everton
497,Jean-Philippe Gbamin,Everton
498,Jetro Willems,Newcastle United
499,Rolando Aarons,Newcastle United
500,Allan Saint-Maximin,Newcastle United
501,Oliver McBurnie,Sheffield United
502,Neal Maupay,Brighton
503,Gary Cahill,Crystal Palace
504,Gabriel Teodoro Martinelli Silva,Arsenal
505,Harry Wilson,Bournemouth
506,Reece James,Chelsea
507,Ibrahim Amadou,Norwich
508,Sofiane Boufal,Southampton
509,Troy Parrott,Tottenham
510,V?ctor Camarasa,Crystal Palace
511,Djibril Sidib?,Everton
512,Danny Welbeck,Watford
513,Heurelho da Silva Gomes,Watford
514,Albian Ajeti,West Ham
515,Kieran Tierney,Arsenal
516,Aaron Mooy,Brighton
517,Dennis Praet,Leicester
518,Jo?o Pedro Cavaco Cancelo,Man City
519,Emil Krafth,Newcastle United
520,Andy Carroll,Newcastle United
521,Michael Verrips,Sheffield United
522,Muhamed Be?i?,Sheffield United
523,Giovani Lo Celso,Tottenham
524,Ryan Sessegnon,Tottenham
525,Isma?la Sarr,Watford
526,Adri?n San Miguel del Castillo,Liverpool
527,Georges-K?vin Nkoudou,Tottenham
528,Pedro Lomba Neto,Wolves
529,Fikayo Tomori,Chelsea
530,Andy Lonergan,Liverpool
531,Caoimhin Kelleher,Liverpool
532,Kevin Danso,Southampton
533,Billy Gilmour,Chelsea
534,Aaron Connolly,Brighton
535,Daniel N'Lundulu,Southampton
536,Tudor Baluta,Brighton
537,Steven Alzate,Brighton
538,Adam Idah,Norwich
539,Jairo Riedewald,Crystal Palace
540,Matthew Longstaff,Newcastle United
541,Bukayo Saka,Arsenal
542,Dimitri Foulquier,Watford
543,Alfie Whiteman,Tottenham
544,Eric Garcia,Man City
545,Addji Keaninkin Marc-Israel Guehi,Chelsea
546,Ezequiel Schelotto,Brighton
547,Leon Clarke,Sheffield United
548,Harry Lewis,Southampton
549,Brandon Williams,Man Utd
550,Harvey Elliott,Liverpool
551,Archie Mair,Norwich
552,Akin Famewo,Norwich
553,David Martin,West Ham
554,Dwight Gayle,Newcastle United
555,Michel Vorm,Tottenham
556,Stephen Henderson,Crystal Palace
557,Beni Baningime,Everton
558,Brandon Austin,Tottenham
559,Bernard Ashley-Seal,Wolves
560,Taylor Perry,Wolves
561,Anthony Gordon,Everton
562,Scott Carson,Man City
563,Ayotomiwa Dele-Bashiru,Watford
564,Christian Saydee,Bournemouth
565,Gavin Kilkenny,Bournemouth
566,Owen Otasowie,Wolves
567,Luke Cundle,Wolves
568,Nathan Holland,West Ham
569,Curtis Jones,Liverpool
570,Oumar Niasse,Everton
571,Mace Goodridge,Burnley
572,Anthony Driscoll-Glennon,Burnley
573,Robert Elliot,Newcastle United
574,Mihai-Alexandru Dobre,Bournemouth
575,Neco Williams,Liverpool
576,Emile Smith Rowe,Arsenal
577,Rhu-endly Martina,Everton
578,Sam Woods,Crystal Palace
579,Tyrick Mitchell,Crystal Palace
580,Brandon Pierrick,Crystal Palace
581,James Daly,Crystal Palace
582,Joseph Anang,West Ham
583,Japhet Tanganga,Tottenham
584,William Smallbone,Southampton
585,Tyreece John-Jules,Arsenal
586,Tariq Lamptey,Chelsea
587,Oskar Buur,Wolves
588,Nya Kirby,Crystal Palace
589,Nathaniel Phillips,Liverpool
590,Takumi Minamino,Liverpool
591,Jack Rodwell,Sheffield United
592,Jo?o Pedro Junqueira de Jesus,Watford
593,Jeremy Ngakia,West Ham
594,Gon?alo Bento Soares Cardoso,West Ham
595,Bernardo Costa Da Rosa,West Ham
596,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley
597,Filip Benkovic,Leicester
598,Thomas Allan,Newcastle United
599,Kelland Watts,Newcastle United
600,Indiana Vassilev,Aston Villa
601,Ondrej Duda,Norwich
602,Lukas Rupp,Norwich
603,Jos? Reina,Aston Villa
604,Ignacio Pussetto,Watford
605,Gedson Carvalho Fernandes,Tottenham
606,Darren Randolph,West Ham
607,Ryan Giles,Wolves
608,Giovanni McGregor,Crystal Palace
609,Bruno Andr? Cavaco Jordao,Wolves
610,Liam Gibson,Newcastle United
611,Jack Robinson,Sheffield United
612,Nabil Bentaleb,Newcastle United
613,Mbwana Samatta,Aston Villa
614,Valentino Lazaro,Newcastle United
615,Steven Bergwijn,Tottenham
616,Tomas Soucek,West Ham
617,Pablo Mar?,Arsenal
618,Bruno Miguel Borges Fernandes,Man Utd
619,Daniel Castelo Podence,Wolves
620,Josh Brownhill,Burnley
621,Sander Berge,Sheffield United
622,Richairo Zivkovic,Sheffield United
623,Borja Gonz?lez Tom?s,Aston Villa
624,Odion Ighalo,Man Utd
625,Panagiotis Retsos,Sheffield United
626,Jarrod Bowen,West Ham
627,Alexis Mac Allister,Brighton
628,Ki-Jana Hoever,Liverpool
629,Jo?o Manuel Neves Virg?nia,Everton
630,Faustino Anjorin,Chelsea
631,Armando Broja,Chelsea
632,Josh Martin,Norwich
633,Nathan Tella,Southampton
634,Harvey White,Tottenham
635,Nikola Tavares,Crystal Palace
636,Zech Medley,Arsenal
637,Jarrad Branthwaite,Everton
638,Jimmy Dunne,Burnley
639,Bobby Thomas,Burnley
640,Max Thompson,Burnley
641,Lukas Jensen,Burnley
642,Taylor Harwood-Bellis,Man City
643,Cole Palmer,Man City
644,Tommy Doyle,Man City
645,Jake Vokins,Southampton
646,Matt Macey,Arsenal
647,Matthew Smith,Arsenal
648,Adalberto Pe?aranda,Watford
649,Alexandre Jankewitz,Southampton
650,Jordan Thomas,Norwich
651,Alfie Lewis,West Ham
652,Leonardo Campana,Wolves
653,Josh Benson,Burnley
654,Will Ferry,Southampton
655,Dennis Cirkin,Tottenham
656,Jack Young,Newcastle United
657,Lewis Bate,Chelsea
658,Timothy Fosu-Mensah,Man Utd
659,Kaine Hayden,Aston Villa
660,Luke Thomas,Leicester
661,George Hirst,Leicester
662,Darnell Johnson,Leicester
663,Jacob Maddox,Southampton
664,Conor Coventry,West Ham
